,Unnamed: 0,ID,Description,Published,Solved By,Difficulty
0,0,1,Multiples of $3$ or $5$,1002301200,970208,5.0
1,1,2,Even Fibonacci Numbers,1003510800,774502,5.0
2,2,3,Largest Prime Factor,1004724000,558051,5.0
3,3,4,Largest Palindrome Product,1005933600,494151,5.0
4,4,5,Smallest Multiple,1007143200,497475,5.0
5,5,6,Sum Square Difference,1008352800,500481,5.0
6,6,7,$10001$st Prime,1009562400,428761,5.0
7,7,8,Largest Product in a Series,1010772000,359773,5.0
8,8,9,Special Pythagorean Triplet,1011981600,364738,5.0
9,9,10,Summation of Primes,1013191200,334504,5.0
10,10,11,Largest Product in a Grid,1014400800,240719,5.0
11,11,12,Highly Divisible Triangular Number,1015610400,227364,5.0
12,12,13,Large Sum,1016820000,232679,5.0
13,13,14,Longest Collatz Sequence,1018026000,232940,5.0
14,14,15,Lattice Paths,1019235600,192508,5.0
15,15,16,Power Digit Sum,1020445200,235145,5.0
16,16,17,Number Letter Counts,1021654800,156497,5.0
17,17,18,Maximum Path Sum I,1022864400,149849,5.0
18,18,19,Counting Sundays,1024074000,139241,5.0
19,19,20,Factorial Digit Sum,1024678800,203723,5.0
20,20,21,Amicable Numbers,1025888400,151139,5.0
21,21,22,Names Scores,1027098000,139094,5.0
22,22,23,Non-Abundant Sums,1028307600,108194,5.0
23,23,24,Lexicographic Permutations,1029517200,118762,5.0
24,24,25,$1000$-digit Fibonacci Number,1030726800,160281,5.0
25,25,26,Reciprocal Cycles,1031936400,87437,5.0
26,26,27,Quadratic Primes,1033146000,90847,5.0
27,27,28,Number Spiral Diagonals,1034355600,111784,5.0
28,28,29,Distinct Powers,1035565200,109294,5.0
29,29,30,Digit Fifth Powers,1036778400,113864,5.0
30,30,31,Coin Sums,1037988000,88498,5.0
31,31,32,Pandigital Products,1039197600,74254,5.0
32,32,33,Digit Cancelling Fractions,1040407200,74598,5.0
33,33,34,Digit Factorials,1041616800,97679,5.0
34,34,35,Circular Primes,1042826400,87907,5.0
35,35,36,Double-base Palindromes,1044036000,92026,5.0
36,36,37,Truncatable Primes,1045245600,76498,5.0
37,37,38,Pandigital Multiples,1046455200,65650,5.0
38,38,39,Integer Right Triangles,1047664800,76065,5.0
39,39,40,Champernowne's Constant,1048874400,83095,5.0
40,40,41,Pandigital Prime,1050080400,70888,5.0
41,41,42,Coded Triangle Numbers,1051290000,77190,5.0
42,42,43,Sub-string Divisibility,1052499600,62406,5.0
43,43,44,Pentagon Numbers,1053709200,61073,5.0
44,44,45,"Triangular, Pentagonal, and Hexagonal",1054918800,73655,5.0
45,45,46,Goldbach's Other Conjecture,1056128400,64211,5.0
46,46,47,Distinct Primes Factors,1057338000,60481,5.0
47,47,48,Self Powers,1058547600,115674,5.0
48,48,49,Prime Permutations,1059757200,60380,5.0
49,49,50,Consecutive Prime Sum,1060966800,65056,5.0
50,50,51,Prime Digit Replacements,1062176400,35667,15.0
51,51,52,Permuted Multiples,1063386000,67697,5.0
52,52,53,Combinatoric Selections,1064595600,61227,5.0
53,53,54,Poker Hands,1065805200,37809,10.0
54,54,55,Lychrel Numbers,1067014800,55962,5.0
55,55,56,Powerful Digit Sum,1068228000,60431,5.0
56,56,57,Square Root Convergents,1069437600,43500,5.0
57,57,58,Spiral Primes,1070647200,42003,5.0
58,58,59,XOR Decryption,1071856800,43008,5.0
59,59,60,Prime Pair Sets,1073066400,28168,20.0
60,60,61,Cyclical Figurate Numbers,1074276000,26798,20.0
61,61,62,Cubic Permutations,1075485600,33023,15.0
62,62,63,Powerful Digit Counts,1076695200,45001,5.0
63,63,64,Odd Period Square Roots,1077904800,23270,20.0
64,64,65,Convergents of e,1079114400,31249,15.0
65,65,66,Diophantine Equation,1080324000,20710,25.0
66,66,67,Maximum Path Sum II,1081530000,98930,5.0
67,67,68,Magic 5-gon Ring,1082739600,21817,25.0
68,68,69,Totient Maximum,1083949200,36365,10.0
69,69,70,Totient Permutation,1085158800,23376,20.0
70,70,71,Ordered Fractions,1086368400,30616,10.0
71,71,72,Counting Fractions,1087578000,23431,20.0
72,72,73,Counting Fractions in a Range,1088787600,26148,15.0
73,73,74,Digit Factorial Chains,1089997200,27937,15.0
74,74,75,Singular Integer Right Triangles,1091206800,18902,25.0
75,75,76,Counting Summations,1092416400,29794,10.0
76,76,77,Prime Summations,1093626000,20121,25.0
77,77,78,Coin Partitions,1094835600,17772,30.0
78,78,79,Passcode Derivation,1095440400,42477,5.0
79,79,80,Square Root Digital Expansion,1097254800,20769,20.0
80,80,81,Path sum: two ways,1098464400,35707,10.0
81,81,82,Path sum: three ways,1099677600,22064,20.0
82,82,83,Path sum: four ways,1100887200,19018,25.0
83,83,84,Monopoly Odds,1102096800,13300,35.0
84,84,85,Counting Rectangles,1103306400,25791,15.0
85,85,86,Cuboid Route,1105120800,13340,35.0
86,86,87,Prime Power Triples,1106330400,21820,20.0
87,87,88,Product-sum Numbers,1107540000,10643,40.0
88,88,89,Roman Numerals,1108749600,22075,20.0
89,89,90,Cube Digit Pairs,1109959200,11874,40.0
90,90,91,Right Triangles with Integer Coordinates,1111168800,16160,25.0
91,91,92,Square Digit Chains,1112374800,43157,5.0
92,92,93,Arithmetic Expressions,1113584400,12416,35.0
93,93,94,Almost Equilateral Triangles,1114794000,13001,35.0
94,94,95,Amicable Chains,1116003600,15036,30.0
95,95,96,Su Doku,1117213200,17979,25.0
96,96,97,Large Non-Mersenne Prime,1118422800,44720,5.0
97,97,98,Anagramic Squares,1119027600,11987,35.0
98,98,99,Largest Exponential,1120237200,31800,10.0
99,99,100,Arranged Probability,1121446800,17084,30.0
100,100,101,Optimum Polynomial,1122656400,12049,35.0
101,101,102,Triangle Containment,1123866000,22836,15.0
102,102,103,Special subset sums: optimum,1125075600,8424,45.0
103,103,104,Pandigital Fibonacci Ends,1126285200,16836,25.0
104,104,105,Special subset sums: testing,1127494800,8397,45.0
105,105,106,Special subset sums: meta-testing,1128704400,6699,50.0
106,106,107,Minimal Network,1129914000,11468,35.0
107,107,108,Diophantine Reciprocals I,1131127200,13137,30.0
108,108,109,Darts,1132336800,8496,45.0
109,109,110,Diophantine Reciprocals II,1133546400,8438,40.0
110,110,111,Primes with Runs,1134756000,7569,45.0
111,111,112,Bouncy Numbers,1135965600,25507,15.0
112,112,113,Non-bouncy Numbers,1139594400,11512,30.0
113,113,114,Counting Block Combinations I,1140199200,11264,35.0
114,114,115,Counting Block Combinations II,1140804000,10299,35.0
115,115,116,"Red, Green or Blue Tiles",1141408800,12589,30.0
116,116,117,"Red, Green, and Blue Tiles",1142013600,11559,35.0
117,117,118,Pandigital Prime Sets,1143223200,7284,45.0
118,118,119,Digit Power Sum,1144429200,12844,30.0
119,119,120,Square Remainders,1145638800,14312,25.0
120,120,121,Disc Game Prize Fund,1148058000,10095,35.0
121,121,122,Efficient Exponentiation,1149267600,8138,40.0
122,122,123,Prime Square Remainders,1150477200,11967,30.0
123,123,124,Ordered Radicals,1152896400,14212,25.0
124,124,125,Palindromic Sums,1154710800,14037,25.0
125,125,126,Cuboid Layers,1155920400,4943,55.0
126,126,127,abc-hits,1157130000,6499,50.0
127,127,128,Hexagonal Tile Differences,1159549200,5225,55.0
128,128,129,Repunit Divisibility,1161968400,6540,45.0
129,129,130,Composites with prime repunit property,1161968400,6161,45.0
130,130,131,Prime Cube Partnership,1163181600,7643,40.0
131,131,132,Large Repunit Factors,1164996000,6587,45.0
132,132,133,Repunit Nonfactors,1164996000,5748,50.0
133,133,134,Prime Pair Connection,1166205600,7273,45.0
134,134,135,Same Differences,1167415200,6635,45.0
135,135,136,Singleton Difference,1167415200,5904,50.0
136,136,137,Fibonacci Golden Nuggets,1168624800,5736,50.0
